confidence	country	fromNodeId	id	inscale	location	magvar	nComments	nThumbsUp	nearBy	pubMillis	reliability	reportByMunicipalityUser	reportMood	reportRating	roadType	speed	street	subtype	toNodeId	type	uuid	wazeData	city	reportBy
4	CI	151145081	alert-213438823/d1927dea-7a69-4648-a977-4067cb80b6ff	true	{"x":-70.658992,"y":-33.452073}	166	0	8	Santiago	1751337934000	10	false	11	3	3	0	Autopista Central	HAZARD_ON_ROAD_CONSTRUCTION	156740863	HAZARD	d1927dea-7a69-4648-a977-4067cb80b6ff	world,-70.658992,-33.452073,d1927dea-7a69-4648-a977-4067cb80b6ff		
0	CI	175706948	alert-213389724/ee3c773e-dda4-4948-80cd-572a0609c82b	false	{"x":-70.707225,"y":-33.459384}	266				1751337653000	6	false	1	4	2	0	Las Violetas	HAZARD_ON_ROAD_POT_HOLE	153637586	HAZARD	ee3c773e-dda4-4948-80cd-572a0609c82b	world,-70.707225,-33.459384,ee3c773e-dda4-4948-80cd-572a0609c82b	Estación Central	paulovil
0	CI	178703824	alert-209374348/511123de-f8b0-4218-ab56-952f1a6b7db4	false	{"x":-70.684415,"y":-33.428396}	359				1751281673000	5	false	11	4	1	0		HAZARD_ON_ROAD_POT_HOLE	178703821	HAZARD	511123de-f8b0-4218-ab56-952f1a6b7db4	world,-70.684415,-33.428397,511123de-f8b0-4218-ab56-952f1a6b7db4	Quinta Normal	
1	CI	201312052	alert-213504405/9cab2146-d7bf-4e00-987a-9cb2994202aa	true	{"x":-70.660336,"y":-33.434038}	352	0	3	Santiago	1751339411000	8	false	948	4	3	0	Autopista Central	HAZARD_ON_SHOULDER_CAR_STOPPED	211786617	HAZARD	9cab2146-d7bf-4e00-987a-9cb2994202aa	world,-70.660336,-33.434038,9cab2146-d7bf-4e00-987a-9cb2994202aa		ajlugo85
1	CI	269341329	alert-213391848/63eaaf0e-ecba-41df-8e7f-8343c737d436	false	{"x":-70.650291,"y":-33.43349}	112	0	5		1751339153000	10	false	10	1	2	0	Ismael Valdés Vergara		111144842	POLICE	63eaaf0e-ecba-41df-8e7f-8343c737d436	world,-70.650291,-33.433491,63eaaf0e-ecba-41df-8e7f-8343c737d436	Santiago	
2	CI	148213813	alert-211923976/48e980e0-2873-479c-b69a-43f5f36868e0	false	{"x":-70.628108,"y":-33.444328}	359	0	5		1751312345000	10	false	1	1	2	0	Marín	HAZARD_ON_ROAD_POT_HOLE	154022031	HAZARD	48e980e0-2873-479c-b69a-43f5f36868e0	world,-70.628108,-33.444328,48e980e0-2873-479c-b69a-43f5f36868e0	Providencia	
3	CI	156950161	alert-182487001/56a70c7f-97f5-4621-82ef-7f1d2387bad9	false	{"x":-70.704487,"y":-33.441981}	359	0	4		1750941601000	10	false	142	2	1	0	Santo Domingo	HAZARD_ON_ROAD_POT_HOLE	156950544	HAZARD	56a70c7f-97f5-4621-82ef-7f1d2387bad9	world,-70.704487,-33.441981,56a70c7f-97f5-4621-82ef-7f1d2387bad9	Quinta Normal	
0	CI	257404237	alert-206418106/3e751c21-fc95-47cb-b646-82720ebbc68a	false	{"x":-70.692505,"y":-33.446049}	359	0	1		1751236269000	6	false	1	3	20	0		HAZARD_ON_ROAD_POT_HOLE	257404238	HAZARD	3e751c21-fc95-47cb-b646-82720ebbc68a	world,-70.692505,-33.446049,3e751c21-fc95-47cb-b646-82720ebbc68a	Quinta Normal	world_nrog3gvy
5	CI	151144764	alert-213336280/5b662a88-094c-4d4a-b949-217ba12dc548	false	{"x":-70.668023,"y":-33.447819}	254	0	38		1751337305000	10	false	1	2	2	0	Av. Libertador Bernardo O'Higgins	HAZARD_ON_ROAD_CONSTRUCTION	155732638	HAZARD	5b662a88-094c-4d4a-b949-217ba12dc548	world,-70.668023,-33.447819,5b662a88-094c-4d4a-b949-217ba12dc548	Santiago	
5	CI	248603377	alert-13854189/bd330d2c-c7d3-467d-bd99-3ab4e122c900	false	{"x":-70.63483,"y":-33.438649}	75	0	68		1746454792000	10	false	0	5	1	0	Arturo Burhle	ROAD_CLOSED_EVENT	153201919	ROAD_CLOSED	bd330d2c-c7d3-467d-bd99-3ab4e122c900	world,-70.63483042729817,-33.4386493951387,bd330d2c-c7d3-467d-bd99-3ab4e122c900	Providencia	Gasparfox
